citation_id,doi,reference,url,citation_type,access_path,notes
"White KE, Brennan EB, Cavigelli MA (2020). Soil carbon and nitrogen data during eight years of cover crop and compost treatments in organic vegetable production. Data in Brief 33:106481.",10.1016/j.dib.2020.106481,NA,NA,NA,NA,NA
"White KE, Brennan EB, Cavigelli MA, Smith RF (2020). Tradeoffs in cover cropping impact net N mineralization, nitrous oxide emissions, and vegetable yields in an organic production system. PLOS ONE 15(1):e0228677.",10.1371/journal.pone.0228677,NA,NA,NA,NA,NA
Wood S. SOCS: Soil Organic Carbon Stocks analysis (GitHub repository). swood-ecology/socs.,https://github.com/swood-ecology/socs,NA,NA,NA,NA,NA
"Nichols PK, Smart DR, Abu-Najm M, Brown P, Harter T, Steenwerth KL (2024). Long-term compost use and high frequency low concentration fertigation reduce N2O emissions from a California almond orchard. Soil Science Society of America Journal 88(2):403-418.",10.1002/saj2.20615,NA,NA,NA,NA,NA
Nichols PK (2024). Data from: Long-term compost use and high frequency low concentration fertigation reduce N2O emissions from a California almond orchard. USDA Ag Data Commons.,10.15482/USDA.ADC/26155504,NA,NA,NA,NA,NA
"Anderson J, Domsch K (1978). A physiological method for the quantitative measurement of microbial biomass in soils. Soil Biology and Biochemistry 10:215-221.",10.1016/0038-0717(78)90099-8,NA,NA,NA,NA,NA
"Weil R, Islam K, Stine M, Gruver J, Samson-Liebig S (2003). Estimating active carbon for soil quality assessment: A simplified method for laboratory and field use. American Journal of Alternative Agriculture 18:3-17.",10.1079/AJAA200228,NA,NA,NA,NA,NA
"Doane T, Horwáth W (2003). Spectrophotometric Determination of Nitrate with a Single Reagent. Analytical Letters 36:2713-2722.",10.1081/AL-120024647,NA,NA,NA,NA,NA
Bouyoucos G (1962). Hydrometer Method Improved for Making Particle Size Analyses of Soils1. Agronomy Journal 54:464-465.,10.2134/agronj1962.00021962005400050028x,NA,NA,NA,NA,NA
"Blake G, Hartge K (1986). Bulk Density. SSSA Book Series:363-375.",10.2136/sssabookser5.1.2ed.c13,NA,NA,NA,NA,NA
Klute A (1986). Water Retention: Laboratory Methods. SSSA Book Series:635-662.,10.2136/sssabookser5.1.2ed.c26,NA,NA,NA,NA,NA
Thomas G (1996). Soil pH and Soil Acidity. SSSA Book Series:475-490.,10.2136/sssabookser5.3.c16,NA,NA,NA,NA,NA
"Nelson D, Sommers L (1996). Total Carbon, Organic Carbon, and Organic Matter. SSSA Book Series:961-1010.",10.2136/sssabookser5.3.c34,NA,NA,NA,NA,NA
Davies B (1974). Loss‐on‐Ignition as an Estimate of Soil Organic Matter. Soil Science Society of America Journal 38:150-151.,10.2136/sssaj1974.03615995003800010046x,NA,NA,NA,NA,NA
"Cambardella C, Elliott E (1992). Particulate Soil Organic‐Matter Changes across a Grassland Cultivation Sequence. Soil Science Society of America Journal 56:777-783.",10.2136/sssaj1992.03615995005600030017x,NA,NA,NA,NA,NA
"Tautges NE, Chiartas JL, Gaudin ACM, O'Geen AT, Herrera I, Scow KM (2019). Deep soil inventories reveal that impacts of cover crops and compost on soil carbon sequestration differ in surface and subsurface soils. Global Change Biology 25(11):3753-3766.",10.1111/gcb.14762,NA,NA,NA,NA,NA
"Wolf KM, Torbert EE, Bryant DC, Burger M, Denison RF, Herrera I, Hopmans JW, Horwath WR, Kaffka SR, Kong AYY, Norris RF, Six J, Tomich TP, Scow KM (2018). The Century Experiment: the first twenty years of UC Davis' Mediterranean agroecological experiment. Ecology 99(2):503.",10.1002/ecy.2105,NA,NA,NA,NA,NA
UC Davis Russell Ranch Sustainable Agriculture Facility — Century Experiment.,https://asi.ucdavis.edu/programs/rr,NA,NA,NA,NA,NA
us_bi1_base_dataset,10.17190/AMF/1480317,"Camilo Rey-Sanchez, Carlos Tianxin Wang, Daphne Szutu, Robert Shortt, Samuel D. Chamberlain, Joseph Verfaillie, Dennis Baldocchi (2025), AmeriFlux BASE US-Bi1 Bouldin Island Alfalfa, Ver. 15-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1480317",https://doi.org/10.17190/AMF/1480317,ameriflux_base_dataset,data/raw/base/US-Bi1/AMF_US-Bi1_BASE-BADM_15-5.zip,site_page_citation_id=us_bi1_site_page
us_bi2_base_dataset,10.17190/AMF/1419513,"Camilo Rey-Sanchez, Carlos Tianxin Wang, Daphne Szutu, Kyle Hemes, Joseph Verfaillie, Dennis Baldocchi (2025), AmeriFlux BASE US-Bi2 Bouldin Island corn, Ver. 20-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1419513",https://doi.org/10.17190/AMF/1419513,ameriflux_base_dataset,data/raw/base/US-Bi2/AMF_US-Bi2_BASE-BADM_20-5.zip,site_page_citation_id=us_bi2_site_page
us_twt_base_dataset,10.17190/AMF/1246140,"Sara Knox, Jaclyn Hatala Matthes, Joseph Verfaillie, Dennis Baldocchi (2023), AmeriFlux BASE US-Twt Twitchell Island, Ver. 7-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246140",https://doi.org/10.17190/AMF/1246140,ameriflux_base_dataset,data/raw/base/US-Twt/AMF_US-Twt_BASE-BADM_7-5.zip,site_page_citation_id=us_twt_site_page
ameriflux_site_list_2026,NA,Local AmeriFlux CH4/N2O site screening list used to define the calval MVP scope,NA,local_input,/Users/dlebauer/ccmmf/fluxnet_cal_val/data/Ameriflux_N2O_CH4_Sites.csv,NA
calval_protocol_2026,NA,Local calval protocol for the AmeriFlux MVP,NA,protocol,/Users/dlebauer/ccmmf/fluxnet_cal_val/calval/docs/calval_protocol.md,NA
