scientific name,common name,notes
Lactuca sativa var. longifolia,romaine lettuce,Head harvested; stover left in field; transplanted
Brassica oleracea var. italica,broccoli,Floret harvested; stover left in field; transplanted
Vicia villosa / Secale cereale,legume-rye mix,Winter cover crop mix; incorporated in late winter
Brassica juncea,mustard,Indian/brown mustard; winter cover crop; incorporated in late winter
Secale cereale,cereal rye,Winter cover crop; incorporated in late winter
Prunus dulcis,almond,Nonpareil/Aldrich/Carmel cultivars; grafted on Nemaguard peach rootstock; replanted 2012; surface drip irrigation
Zea mays,corn,Grain corn; harvested for grain + total above-ground biomass
Solanum lycopersicum,tomato,Processing tomato; red + green fruit + vine fractions
Triticum aestivum,wheat,Bread wheat; irrigated and rainfed treatments
Medicago sativa,alfalfa,Perennial forage; multiple cuts per year (2012-2014)
Sorghum x drummondii,sudangrass,Summer cover/forage crop
Vicia spp. / Pisum sativum / Secale cereale,winter_cover_crop_mix,Legume / pea / cereal-rye cover crop mixes (variable)
NA,alfalfa,Derived from Ameriflux Cal/Val Data crop_system and crop_display fields; scientific name left blank unless source-backed.
NA,corn,Derived from Ameriflux Cal/Val Data crop_system and crop_display fields; scientific name left blank unless source-backed.
NA,rice,Derived from Ameriflux Cal/Val Data crop_system and crop_display fields; scientific name left blank unless source-backed.
