method name,description,citation_id,method_id,short_name,notes,attributes_json
elemental_analysis,"Soil organic carbon measured by dry combustion elemental analysis (CNS analyzer), 0-30 cm depth. Samples collected annually at end of growing season. Results expressed as Mg C ha-1 using measured bulk density for stock calculations.",10.2136/sssabookser5.3.c34,NA,NA,NA,NA
core_sample,"Bulk density measured from undisturbed soil cores, 0-30 cm depth. Core volume calculated from ring dimensions; dry weight after oven-drying at 105°C.",10.2136/sssabookser5.1.2ed.c13,NA,NA,NA,NA
density_fractionation,"Soil organic matter fractionation by density separation into particulate organic matter (POM, &lt;1.85 g cm-3) and mineral-associated organic matter (MAOM, &gt;1.85 g cm-3). C and N content of each fraction measured by elemental analysis.",10.2136/sssaj1992.03615995005600030017x,NA,NA,NA,NA
loss_on_ignition,Soil organic matter estimated by loss-on-ignition (LOI): sample ignited at 360°C for 2 hours; organic matter = mass lost as percentage of dry soil mass.,10.2136/sssaj1974.03615995003800010046x,NA,NA,NA,NA
1:1_water,Soil pH measured in 1:1 soil-to-water suspension using a calibrated pH meter.,10.2136/sssabookser5.3.c16,NA,NA,NA,NA
hydrometer,"Soil texture (% sand, silt, clay) determined by the hydrometer method (Bouyoucos 1962). Samples pre-treated with sodium hexametaphosphate dispersant.",10.2134/agronj1962.00021962005400050028x,NA,NA,NA,NA
pressure_plate,Water holding capacity determined by pressure plate apparatus at -0.033 MPa (field capacity). Results expressed as % gravimetric water content.,10.2136/sssabookser5.1.2ed.c26,NA,NA,NA,NA
SIR_substrate_induced_respiration,Substrate-induced respiration (SIR): CO2 released per unit soil mass per hour following addition of glucose substrate. Proxy for active microbial biomass.,10.1016/0038-0717(78)90099-8,NA,NA,NA,NA
permanganate_oxidizable_carbon_0_6.7cm,"Permanganate oxidizable carbon (KMnO4 oxidation), 0-6.7 cm depth",10.1079/AJAA200228,NA,NA,NA,NA
permanganate_oxidizable_carbon_0_30cm,"Permanganate oxidizable carbon (KMnO4 oxidation), 0-30 cm depth",10.1371/journal.pone.0228677,NA,NA,NA,NA
c_input_biomass_estimation,Carbon inputs estimated from above-ground biomass harvests (shoot dry weight × C fraction) plus root and exudate estimates using literature root:shoot ratios. Expressed as cumulative total over 8-year study.,10.1016/j.dib.2020.106481,NA,NA,NA,NA
total_N_input_cumulative_8yr,"Total nitrogen input calculated as sum of: biological N fixation (estimated from legume cover crop biomass × fixation fraction), compost N, and inorganic fertilizer N. Cumulative over 8 years.",10.1016/j.dib.2020.106481,NA,NA,NA,NA
total_C_input_cumulative_8yr,Total carbon input calculated from vegetable post-harvest residue dry matter × C fraction (0.368) + cover crop shoot dry matter × C fraction (0.441) + compost dry matter × C fraction (0.317). Cumulative over 8 years.,10.1016/j.dib.2020.106481,NA,NA,NA,NA
n_input_estimation,"Nitrogen inputs estimated from cover crop biomass N content, legume N fixation (shoot N × fixation fraction), vegetable residue N, and crop N uptake from tissue analysis. Expressed as cumulative total over 8-year study.",10.1016/j.dib.2020.106481,NA,NA,NA,NA
yield_fresh_weight_harvest,Crop yield measured as fresh weight at commercial harvest. Lettuce: head weight. Broccoli: floret head weight. Cumulative over all crops in study period.,10.1002/saj2.20615,NA,NA,NA,NA
static_chamber_N2O,"Closed static chamber (3.5 L PVC, 20 cm diam). Gas sampled at t=0,10,20 min; N2O by GC-ECD (Shimadzu GC-2014). Flux upscaled across 3 collar zones (0, 50, 150 cm from emitter) using Baram et al. 2018.",10.1081/AL-120024647,NA,NA,NA,NA
colorimetric_nitrate,"Soil nitrate nitrogen measured by colorimetric method (cadmium reduction or similar), 0-30 cm depth. Samples collected annually at end of growing season.",10.1016/j.dib.2020.106481,NA,NA,NA,NA
dry_combustion_elemental_analysis,Total C and N by dry combustion on ground soil; elemental analyzer.,10.1002/ecy.2105,NA,NA,NA,NA
soil_core,"Bulk density by intact soil core (known volume), dried at 105 deg C.",10.1002/ecy.2105,NA,NA,NA,NA
walkley_black,Soil organic matter by Walkley-Black wet oxidation.,10.1002/ecy.2105,NA,NA,NA,NA
KCl_extract,Extractable NH4-N and NO3-N by 2M KCl extraction; colorimetric quantification.,10.1002/ecy.2105,NA,NA,NA,NA
field_harvest,In-field crop yield from hand-harvested subsamples or machine harvest as noted.,10.1002/ecy.2105,NA,NA,NA,NA
keeney_nelson,Extractable NH4-N and NO3-N determined colorimetrically following the Keeney and Nelson method; applied to KCl extracts.,NA,NA,NA,NA,NA
doane_miranda,Extractable NH4-N and NO3-N determined colorimetrically following the Doane and Miranda method; applied to KCl extracts.,NA,NA,NA,NA,NA
site_metadata_import,Lean site metadata imported from local AmeriFlux BASE/BADM-derived metadata for the current calval scope.,https://github.com/lebauerapproach/fluxnet_cal_val,site_metadata_import,Site metadata import,NA,{}
daily_base_hh_aggregation,Half-hourly AmeriFlux BASE observations aggregated to daily values using the repo harmonization rules.,https://github.com/lebauerapproach/fluxnet_cal_val,daily_base_hh_aggregation,BASE HH to daily,NA,{}
daily_fluxnet_dd_direct,Daily FLUXNET values taken directly from the FLUXNET DD product when that product is selected as the preferred source.,https://github.com/lebauerapproach/fluxnet_cal_val,daily_fluxnet_dd_direct,FLUXNET DD direct,NA,{}
daily_fluxnet_hh_aggregation,Half-hourly FLUXNET observations aggregated to daily values when used as a fallback source.,https://github.com/lebauerapproach/fluxnet_cal_val,daily_fluxnet_hh_aggregation,FLUXNET HH to daily,NA,{}
annual_budget_from_daily,Annual totals derived from curated daily observations using unit-aware conversion rules for site-years that pass the annual QC screen.,https://github.com/lebauerapproach/fluxnet_cal_val,annual_budget_from_daily,Annual budget from daily,NA,{}
management_badm_extraction,Best-effort extraction of BADM disturbance and management groups.,https://github.com/lebauerapproach/fluxnet_cal_val,management_badm_extraction,BADM management extraction,NA,{}
static_soil_badm_import,Static soil observations extracted from AmeriFlux BADM/BIF helper output for the current calval scope.,https://github.com/lebauerapproach/fluxnet_cal_val,static_soil_badm_import,BADM static soil import,NA,{}
static_soil_publication_import,Static soil observations transcribed from exact-site publications or supplements when AmeriFlux BADM/BIF does not provide the requested property.,https://github.com/lebauerapproach/fluxnet_cal_val,static_soil_publication_import,Publication static soil import,NA,{}
management_publication_import,Management events transcribed from exact-site publications or AmeriFlux site pages using current calval timing fields and source-reported quantities.,https://github.com/lebauerapproach/fluxnet_cal_val,management_publication_import,Publication management import,NA,{}
weather_base_native_import,Native-timestep meteorological and soil-state drivers imported from AmeriFlux BASE archives using amerifluxr helper functions.,https://github.com/lebauerapproach/fluxnet_cal_val,weather_base_native_import,BASE native weather import,NA,{}
