min_date,max_date,crop,variety,sitename,variable,method,value,n,statname,stat,treatment_id,replicate_id,...14,min_depth,max_depth,citation,fill_status,notes,dataset_id,reported_units,observation_level
2006-10-01,2006-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1,1,NA,NA,socs_sys1,1,4,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2006-10-01,2006-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.4,1,NA,NA,socs_sys1,2,4,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2006-10-01,2006-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.4,1,NA,NA,socs_sys1,3,4,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2006-10-01,2006-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.41,1,NA,NA,socs_sys1,4,4,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2010-10-01,2010-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.35,1,NA,NA,socs_sys1,1,7,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2010-10-01,2010-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.34,1,NA,NA,socs_sys1,2,7,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2010-10-01,2010-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.41,1,NA,NA,socs_sys1,3,7,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2010-10-01,2010-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1,1,NA,NA,socs_sys1,4,7,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2011-08-01,2011-09-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.38,1,NA,NA,socs_sys1,1,8,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,August 2011; study ended post-lettuce harvest,white_salinas_2020,g cm-3,replicate
2011-08-01,2011-09-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.29,1,NA,NA,socs_sys1,2,8,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,August 2011; study ended post-lettuce harvest,white_salinas_2020,g cm-3,replicate
2011-08-01,2011-09-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.24,1,NA,NA,socs_sys1,3,8,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,August 2011; study ended post-lettuce harvest,white_salinas_2020,g cm-3,replicate
2011-08-01,2011-09-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.29,1,NA,NA,socs_sys1,4,8,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,August 2011; study ended post-lettuce harvest,white_salinas_2020,g cm-3,replicate
2006-10-01,2006-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.3,1,NA,NA,socs_sys2,1,4,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2006-10-01,2006-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.35,1,NA,NA,socs_sys2,2,4,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2006-10-01,2006-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1,1,NA,NA,socs_sys2,3,4,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2006-10-01,2006-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.45,1,NA,NA,socs_sys2,4,4,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2010-10-01,2010-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.31,1,NA,NA,socs_sys2,1,7,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2010-10-01,2010-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1.27,1,NA,NA,socs_sys2,2,7,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
2010-10-01,2010-11-01,NA,NA,salinas_socs,bulk_density_g_cm3,core_sample,1,1,NA,NA,socs_sys2,3,7,0,30,10.1016/j.dib.2020.106481,FILLED_SITE_DATA_XLSX,reported as fall sampling; approximate October window,white_salinas_2020,g cm-3,replicate
