name,latitude,longitude,site_name,site_description,country,state_province,crop_system,citation_id,notes,attributes_json
salinas_socs,36.62,-121.53,NA,NA,NA,NA,NA,NA,NA,NA
modesto_almond_usda,37.63,-121.09,NA,NA,NA,NA,NA,NA,NA,NA
russell_ranch_davis,38.54,-121.87,NA,NA,NA,NA,NA,NA,NA,NA
US-Bi1,38.0992,-121.4993,Bouldin Island Alfalfa,An agricultural field in the San Joaquin Sacramento Delta.  The field is a mix of organic peat and sediments and minerals from old river channels,USA,CA,alfalfa,us_bi1_base_dataset,A spatially distinct alfalfa chamber field is represented by site_id US-Bi1__alfalfa_chambers; its soil and management evidence is not attributed to this tower support.,"{""site_page_citation_id"":""us_bi1_site_page"",""supplemental_source_ids"":""ameriflux_site_list_2026"",""years_available"":""2016,2017,2018,2019,2020,2021,2022,2023,2024,2025"",""reference_paper_citation_ids"":[""hemes2020wal"",""hemes2019atc"",""chu2021roe"",""reysanchez2021eoa"",""baldocchi2020onr""],""primary_reference_paper_citation_ids"":""hemes2019atc""}"
US-Bi1__alfalfa_chambers,38.1076,-121.5021,Bouldin alfalfa chamber field,Perennial alfalfa chamber field used by Anthony et al. 2023; spatially distinct from the US-Bi1 tower.,USA,CA,alfalfa,anthony2023cpo,"The publication describes the AmeriFlux tower as nearby (less than 1 km), not co-located.","{""flux_measurement_period"":""2017-01 through 2021-02""}"
US-Bi2__management_field,38.1091,-121.5351,Bouldin corn management field,Field-level support for the 2017-2024 crop and management chronology at US-Bi2.,USA,CA,corn and sorghum,anthony2024hsa,This support separates field management from the tower-and-chamber measurement support while retaining their verified field/site co-location.,"{""co_located_site_id"":""US-Bi2"",""support_scope"":""field management only"",""chamber_at_mast_claim"":false}"
US-Bi2,38.1091,-121.5351,Bouldin Island corn,"Corn field on Bouldin Island in the Sacramento San Joaquin Delta.  This site has deep peat that was drained for farming. Over the past 100 years there has been excessive subsidence of the peat in the Delta region. The corn is usually harvested for silage cattle feed.
Corn was planted in the field 2017-2023. Sorghum was planted in the field 2024. Publication describes the Dryad corn chamber agroecosystem as co-located with the US-Bi2 field/site support at source-reported coordinate precision.",USA,CA,corn,us_bi2_base_dataset,"Corn_GHG.xlsx has no coordinate field. Anthony and Silver (2024), p. 464, Methods > Site description, reports 38.1091 degrees N, 121.5351 degrees W, matching US-Bi2 at 0 m between the reported points. This supports shared field/site identity, not literal chamber-at-tower-mast identity.","{""site_page_citation_id"":""us_bi2_site_page"",""supplemental_source_ids"":""ameriflux_site_list_2026"",""years_available"":""2017,2018,2019,2020,2021,2022,2023,2024,2025"",""reference_paper_citation_ids"":[""hemes2019atc"",""hemes2020wal"",""reysanchez2021eoa"",""baldocchi2020onr"",""chu2021roe""],""publication_source_ids"":[""kasak2021rwo"",""anthony2024hsa"",""us_bi2_site_page""],""hydrology_regime"":""fallow field flooded in autumn and drained in spring"",""fertilizer_summary"":""potassium thiosulfate and urea-ammonium nitrate reported as example products"",""crop_history"":""Corn was planted 2017-2023; sorghum was planted in 2024 according to the AmeriFlux site page."",""corn_chamber_support"":{""status"":""co-located field/site support"",""reported_latitude"":38.1091,""reported_longitude"":-121.5351,""reported_distance_m"":0,""coordinate_fields_in_dryad_workbook"":false,""coordinate_source_locator"":""Anthony and Silver (2024), p. 464, Methods > Site description"",""identity_scope"":""field/site support, not literal chamber-at-tower-mast identity""}}"
US-Twt__tower_20090403,38.1087,-121.6531,Twitchell Island tower deployment beginning 2009-04-03,Initial AmeriFlux tower deployment before the temporary move south.,USA,CA,rice,us_twt_base_dataset,Deployment end is bounded by the next reported tower location start date.,"{""bif_group_id"":86662}"
US-Twt__tower_20090722,38.1055,-121.6521,Twitchell Island temporary tower deployment,Temporary tower location approximately 360 m south of the primary location.,USA,CA,rice,us_twt_base_dataset,Deployment end is bounded by the next reported tower location start date.,"{""bif_group_id"":86660}"
US-Twt__tower_20101118,38.1087,-121.6531,Twitchell Island tower deployment beginning 2010-11-18,AmeriFlux tower deployment at the primary Twitchell location beginning 2010-11-18.,USA,CA,rice,us_twt_base_dataset,NA,"{""bif_group_id"":86659}"
US-Twt__publication_site_1,38.106,-121.655,Twitchell Island 2012 publication Site 1,Experimental rice field identified as Site 1 in Kirk et al. 2015.,USA,CA,rice,kirk2015eas,The publication reports one study-area coordinate for Sites 1 and 2; individual field geometry remains unresolved.,"{""publication_profile_reference"":""site_1""}"
US-Twt__publication_site_2,38.106,-121.655,Twitchell Island 2012 publication Site 2,Experimental rice field identified as Site 2 in Kirk et al. 2015.,USA,CA,rice,kirk2015eas,The publication reports one study-area coordinate for Sites 1 and 2; individual field geometry remains unresolved.,"{""publication_profile_reference"":""site_2""}"
