raffeld_treatment,source_treatment,calval_treatment_id,plot,campaign,SOC_stock_0_30cm_Mg_C_ha,equivalent_depth_cm,method,source_file
CMT,CMT,conv_corn_tomato,1_3,1993,45.9708648929124,30.2962912405957,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,1_3,2012,48.1474652623314,32.6585136060875,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,1_4,1993,45.0180618560918,30.6128640379974,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,1_4,2012,42.0476852244957,34.7810591448931,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,4_5,1993,37.6118681829638,30.1039105652504,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,4_5,2012,41.3636268014064,34.3041503078947,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,5_5,1993,40.9669295815077,29.7030455159948,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,5_5,2012,39.5431885827832,38.106174905553,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,7_8,1993,44.588409901651,30.0995809814826,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,7_8,2012,43.4275237768834,38.2758023629375,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,8_9,1993,36.9883237234592,29.2147625181634,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,8_9,2012,41.469726330632,32.8806182867711,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_maize_data.xlsx
IW,IWC,irr_wheat_control,2_7,1993,39.0699121448445,30.7031548889559,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,2_7,2012,43.9637638179067,35.8300398505971,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,3_5,1993,35.0862458007266,30.5127687639109,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,3_5,2012,32.2877005843991,34.0026705419981,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,5_6,1993,41.624080129749,29.7959399215159,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,5_6,2012,40.4695990344175,32.0348123155695,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,6_1,1993,36.4531160014193,29.5123898727908,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,6_1,2012,39.51802568888,34.8213925555411,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,7_7,1993,43.403914651304,29.2060595622858,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,7_7,2012,40.2995680691477,30.093354206832,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,8_7,1993,38.3445754623599,30.3080525411878,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW,IWC,irr_wheat_control,8_7,2012,45.8040804117834,32.914248931773,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW + N,IWF,irr_wheat_fallow,2_6,1993,39.8532387382872,31.2409590500258,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW + N,IWF,irr_wheat_fallow,2_6,2012,48.7044115485307,35.6674905076638,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW + N,IWF,irr_wheat_fallow,3_4,1993,33.634757063723,30.7533614833624,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW + N,IWF,irr_wheat_fallow,3_4,2012,42.836395921345,33.9563339036595,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW + N,IWF,irr_wheat_fallow,4_2,1993,29.8647808187046,29.3176855643204,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW + N,IWF,irr_wheat_fallow,4_2,2012,31.6008852252481,30.3292009759578,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW + N,IWF,irr_wheat_fallow,4_6,1993,29.0215285749957,28.8006492175783,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
IW + N,IWF,irr_wheat_fallow,4_6,2012,28.5213326238177,30.4425019521106,"equivalent soil mass, Hyman cubic spline (SimpleESM ESM2)",Davis_wheat_data.xlsx
