practice,outcome,evidence_rows,sources,evidence_availability
+Cover Crops,Soil C,4,Poeplau & Don; Vicente-Vicente et al.,present
+Cover Crops,N2O,3,Basche et al.; Li et al.,present
+Cover Crops,CH4,0,,none_curated
+Non-crop C,Soil C,2,Vicente-Vicente et al.; Bai et al.,present
+Non-crop C,N2O,1,Ma et al.,present
+Non-crop C,CH4,1,Ma et al.,present
Reduced tillage,Soil C,2,"Robertson, Paul & Harwoo; Sun et al.",present
Reduced tillage,N2O,5,Li et al.; Snyder et al.; van Kessel et al.,present
Reduced tillage,CH4,1,Six et al.,present
+/- N Fertilization,Soil C,1,Snyder et al.,present
+/- N Fertilization,N2O,18,Bouwman et al.; Cayuela et al.; IPCC; Leschinsky & Xia; Li et al.; Liu et al.; Shcherbak et al.,present
+/- N Fertilization,CH4,1,Snyder et al.,present
Flooding / rice,Soil C,1,Kirk et al.,present
Flooding / rice,N2O,3,Cayuela et al.; IPCC; Jiang et al.; Li et al.,present
Flooding / rice,CH4,4,Conrad; Jiang et al.,present
Annual -> Perennial,Soil C,2,Siddique et al.,present
Annual -> Perennial,N2O,1,Anthony et al.,present
Annual -> Perennial,CH4,1,"Robertson, Paul & Harwoo",present
