unique_id,metric_id,evidence_id,practice_table6,outcome,intervention,comparator,time_span,covariates,mean,statistic_name,statistic,lower,upper,units,domain,n_studies,n_observations,direction,citation,doi,zotero_collection,source_locator,extracted_verbatim,notes,target_type
1,CC-SOC-01,Poeplau_Don_2015_rate,+Cover Crops,Soil C,cover crop / cash(?) crop in rotation,reference cropland without cover crop,up to 54 years,elevation; sampling depth,0.32,standard error,0.08,,,Mg C ha-1 yr-1,global cropland; mean soil depth 22 cm,37 sites,139 plots,increase,Poeplau & Don (2015) Agric Ecosyst Environ 200:33-41,10.1016/j.agee.2014.10.024,management/meta-analyses,Abstract,annual change rate of 0.32 +/- 0.08 Mg ha-1 yr-1 in a mean soil depth of 22 cm,"Linear model R2 = 0.19. Authors state N2O and albedo effects are NOT included, so this is not a GHG balance.",contrast
2,CC-SOC-02,Poeplau_Don_2015_steadystate,+Cover Crops,Soil C,"cover crop, modelled to new steady state (RothC)",reference cropland,155 years to steady state,,16.7,standard error,1.5,,,"Mg C ha-1 (cumulative, 22 cm)",global cropland,,,increase,Poeplau & Don (2015) Agric Ecosyst Environ 200:33-41,10.1016/j.agee.2014.10.024,management/meta-analyses,Abstract,new steady state was reached after 155 years ... total mean SOC stock accumulation of 16.7 +/- 1.5 Mg ha-1,"Modelled, not observed. Do not compare to a MAGiC run shorter than the accumulation period.",not_viable
3,CC-N2O-01,Basche_2014_split,+Cover Crops,N2O,cover crop,no cover crop,varies; sub-annual and full-year,N rate; cover crop type (legume vs non-legume); residue incorporation; precipitation,60% of observations positive LRR / 40% negative,log response ratio (LRR),,,,dimensionless LRR,global; N2O from soil surface,26 articles,106,variable,Basche et al. (2014) J Soil Water Conserv 69(6):471-482,10.2489/jswc.69.6.471,management/meta-analyses,Abstract,Forty percent of the observations had negative LRRs ... while 60% had positive LRRs,"CONTRADICTS Table 6's confident '+Cover Crops -> N2O decrease'. Full-year LRRs are close to zero, i.e. net effect near neutral.",not_viable
4,RT-N2O-01,VanKessel_2013_overall,Reduced tillage,N2O,no-till / reduced tillage (NT/RT),conventional tillage (CT),short- and long-term (<10 and >=10 years),climate zone; duration; N placement depth; soil texture,no significant change,meta-analysis mean,,,,area-scaled N2O,"global, humid and dry temperate",,239 direct comparisons,no effect overall,van Kessel et al. (2013) Glob Change Biol 19(1):33-44,10.1111/j.1365-2486.2012.02779.x,NOT in meta-analyses collection,Abstract,"averaged across all comparisons, NT/RT did not alter N2O emissions compared with CT",DISAGREES with Li et al. 2023 (-11%). This is the disputed cell in the audited matrix.,contrast
5,RT-N2O-02,VanKessel_2013_dry_short,Reduced tillage,N2O,"NT/RT implemented <10 years, dry climate",CT,<10 years,dry climate,+57,"significant change, yield-scaled",,,,percent,dry climatic zones,,,increase,van Kessel et al. (2013) Glob Change Biol 19(1):33-44,10.1111/j.1365-2486.2012.02779.x,NOT in meta-analyses collection,Abstract,yield-scaled N2O increased significantly (57%) when NT/RT was implemented <10 years,Direction REVERSES with duration - see next row. A statewide comparison must know adoption age.,contrast
6,RT-N2O-03,VanKessel_2013_dry_long,Reduced tillage,N2O,"NT/RT sustained >=10 years, dry climate",CT,>=10 years,dry climate,-27,"significant change, yield-scaled",,,,percent,dry climatic zones,,,decrease,van Kessel et al. (2013) Glob Change Biol 19(1):33-44,10.1111/j.1365-2486.2012.02779.x,NOT in meta-analyses collection,Abstract,but decreased significantly (27%) after >=10 years of NT/RT,Pairs with the row above: sign flips at ~10 years of adoption.,contrast
7,RT-N2O-01,Li_2023_NTRT,Reduced tillage,N2O,no-till / reduced tillage,conventional tillage,not restricted,climate; initial soil carbon (<20 g kg-1),-11,95% confidence interval,-19 to -1,-19,-1,percent,global cropland,,,decrease,"Li et al. (2023) Agron Sustain Dev 43, 'The role of conservation agriculture practices in mitigating N2O emissions'",10.1007/s13593-023-00911-x,management/meta-analyses,Abstract,NT/RT significantly decreased soil N2O emissions by 11% (95% CI: -19 to -1%),"DISAGREES with van Kessel et al. 2013, which found no overall effect.",contrast
8,CC-N2O-02,Li_2023_covercrops,+Cover Crops,N2O,cover crops,no cover crop,,soil pH; soil C ~20 g kg-1; soil N ~3 g kg-1,variable,meta-forest,,,,percent change,global cropland,,,variable,Li et al. (2023) Agron Sustain Dev 43,10.1007/s13593-023-00911-x,management/meta-analyses,Abstract,The implementation of cover crops and diversified crop rotations led to variable effects on soil N2O emissions,Consistent with Basche et al. 2014. Reduction most likely at neutral pH with intermediate soil C and N.,not_viable
9,NF-N2O-01,Liu_2017_EFc,+/- N Fertilization,N2O,N fertilizer application,unfertilized control,,fertilizer type; C/N; tillage; irrigation,2.58,95% confidence interval,1.81 to 3.35,1.81,3.35,percent of N applied (combined NO + N2O emission factor),global soils,114 publications,520 field measurements,increase,Liu et al. (2017) Glob Change Biol 23(6):2520-2532,10.1111/gcb.13485,management,Abstract,"global mean direct emission factors ... for combined NO+N2O (EFc) were estimated to be 2.58%, with 95% confidence intervals of 1.81-3.35%","COMBINED NO+N2O, not N2O alone. Do not compare directly to an N2O-only inventory figure.",not_viable
10,NF-N2O-02,Liu_2017_veg,+/- N Fertilization,N2O,"N fertilizer, vegetable cropping",unfertilized,,,4.13,emission factor,,,,percent of N applied (NO + N2O),vegetable cropping fields,,,increase,Liu et al. (2017) Glob Change Biol 23(6):2520-2532,10.1111/gcb.13485,management,Abstract,"Within the croplands, the EFNO (1.71%) and EFc (4.13%) were the greatest in vegetable cropping fields",Most relevant sub-domain for California specialty/vegetable systems.,not_viable
