metric_cell,practice,outcome,subclass,n_contrast_rows,selected_row_id,selected_value,selected_units,selected_spread,use,contributing_rows_unaggregated,model_direction,model_effect,agreement,note,assessment_ids
+Cover Crops x Soil C,+Cover Crops,Soil C,,4,Poeplau_Don_2015_rate,0.32,Mg C ha-1 yr-1,0.74,likelihood,Poeplau_Don_2015_rate=0.32 Mg C ha-1 yr-1 (95% CI halfwidth 0.08); VicenteVicente_2016_CC.olive=1.1 Mg C ha-1 yr-1; VicenteVicente_2016_CC.vineyard=0.78 Mg C ha-1 yr-1; VicenteVicente_2016_CC.almond=2 Mg C ha-1 yr-1,,,,"Poeplau carries a valid error bar, but two different ones. The paper's +/- 0.08 is a 95% CI half width on the mean, giving SE 0.041. The supplement's 139 plot rates give a population SD of 0.74. summarized_targets uses 0.74 because the comparison is against the model's across site spread, not against the precision of the synthesis mean.",cc_soc;cc_soc_woody
+Cover Crops x N2O,+Cover Crops,N2O,,0,,,,,none,,,,,,cc_n2o;cc_n2o_legume
+Cover Crops x CH4,+Cover Crops,CH4,,0,,,,,none,,,,,,cc_ch4
+Non-crop C x Soil C,+Non-crop C,Soil C,,2,Bai_2023_OA_SOC,0.23823,LRR (dimensionless),0.002814,likelihood,"Bai_2023_OA_SOC=0.23823 LRR (se 0.002814, n=1972 comparisons); VicenteVicente_2016_OA=5.3 Mg C ha-1 yr-1 (a rate, no dispersion)",,,,"Selected Bai et al. 2023 2026-09-17, replacing Vicente-Vicente 2016. NOT aggregated: the two are different quantities, a percent change against a rate.",oa_soc;oa_soc_olive
+Non-crop C x N2O,+Non-crop C,N2O,,0,,,,,none,,,,,,oa_n2o
+Non-crop C x CH4,+Non-crop C,CH4,,0,,,,,none,,,,,,oa_ch4
Reduced tillage x Soil C,Reduced tillage,Soil C,,2,Sun_2020_notill_SOC_CAanalog,0.2162,Mg C ha-1 yr-1,0.4478,likelihood,"Sun_2020_notill_SOC_CAanalog=0.2162 Mg C ha-1 yr-1 (sd 0.4478, n=23 sites); Robertson_2000_notill_SOC=0.3 Mg C ha-1 yr-1 (no dispersion)",,,,"Selected Sun et al. 2020 per issue #11, replacing Robertson 2000. Derived from Sun et al. 2020 Table S1 by the script given in issue #11, run unmodified. Filter: MAT 10-20 C and MAP/MAT < 40, giving a Mediterranean to semi-arid envelope of MAT 12.5-20 C and MAP 355-690 mm, which brackets Central Valley conditions. 62 no-till versus conventional-till comparisons at 23 named sites, each site weighted equally after averaging its own comparisons. NOT aggregated with Robertson, which is a single site inside the same synthesis scope.",rt_soc
Reduced tillage x N2O,Reduced tillage,N2O,,6,VanKessel_2013_dry_short,0.322,LRR (dimensionless),0.124,likelihood,VanKessel_2013_dry_short=0.322 (se 0.124); VanKessel_2013_dry_long=-0.419 (se 0.132); VanKessel_2013_overall=0.003 (se 0.054); Li_2023_NTRT=-0.116534 (se 0.051193); Snyder_2009_notill_N2O.notill=-0.334369; Snyder_2009_notill_N2O.conv=0.95 kg N2O-N ha-1 yr-1,,,,"Selected van Kessel dry under 10 years per David 2026-09-15. NOT aggregated: the overall row contains the same sites as the dry subgroups so pooling would double count, and the two duration classes have opposite signs. Snyder is listed as a contributor but its dispersion is an arm SD, not the contrast's.",rt_n2o_short;rt_n2o_long;rt_n2o_overall;rt_n2o_li
Reduced tillage x CH4,Reduced tillage,CH4,,1,Six_2004_CH4,-0.6,kg CH4 ha-1 yr-1,0.1,none,Six_2004_CH4=-0.6 kg CH4 ha-1 yr-1 (se 0.1),,,,"CH4 uptake enhancement under no till, negative means uptake. VERIFIED against Six 2004 Table 1: estimate 0.6, SE 0.1, identical in humid and dry and constant at years 5, 10 and 20 since it is modelled as a constant annual rate. Caption states SE = standard error. Corresponding GWP is 13 kg CO2-eq ha-1 yr-1 with SE 3.1. Based on only five CH4 data points across the meta-analysis. SCOPED OUT 2026-09-16 per David: CH4 is only in scope for rice systems. Tillage does not enter the SIPNET CH4 formulation, so the model returns no difference for this cell and it cannot be fitted or sign checked. The Six 2004 estimate is retained because it is verified, but it is not a target.",rt_ch4
+/- N Fertilization x Soil C,+/- N Fertilization,Soil C,,0,,,,,none,,,,,,nf_soc
+/- N Fertilization x CH4,+/- N Fertilization,CH4,,0,,,,,none,,,,,,nf_ch4
Flooding / rice x Soil C,Flooding / rice,Soil C,,0,,,,,none,,,,,,rice_soc
Flooding / rice x N2O,Flooding / rice,N2O,,1,Jiang_2019_N2O_tradeoff,0.718,LRR (dimensionless),0.707,sign_check,Jiang_2019_N2O_tradeoff=0.71784,,,,"Non-continuous versus continuous flooding in rice raises N2O by 105%. No reported contrast uncertainty is curated. The log-scale spread 0.707 is an assumed sensitivity scale from ln(4)/1.96, not an empirical SE or confidence interval. use=sign_check; exclude from a likelihood unless that assumption is explicitly adopted.",rice_n2o
Annual -> Perennial x Soil C,Annual -> Perennial,Soil C,,3,Siddique_2023_vs_monoculture,0.154,LRR (dimensionless),0.707,sign_check,Siddique_2023_vs_monoculture=0.153579; Siddique_2023_time_dependence.lt5yr= ; Siddique_2023_time_dependence.gt10yr=0.310422,,,,"SOC stock at 0-30 cm is 16.6% higher than annual monoculture in the aggregate; reported direction reverses below 5 years and is positive beyond 10 years. Match stand age. Spread 0.707 is an assumed log-scale sensitivity scale from ln(4)/1.96, not an empirical SE or confidence interval. use=sign_check.",ap_soc_mean;ap_soc_short;ap_soc_long
Annual -> Perennial x N2O,Annual -> Perennial,N2O,,0,,,,,none,,,,,,ap_n2o
Annual -> Perennial x CH4,Annual -> Perennial,CH4,,0,,,,,none,,,,,,ap_ch4
