row_id,parent_evidence_id,metric_id,practice,outcome,target_type,current_target,effect_scale,value_norm,value_units,lrr,original_mean,original_units,note,val_unc_type,val_unc_value,val_unc_units,val_unc_applies_to,val_unc_derivation,se_on_analysis_scale,lrr_se,lrr_se_derivation,reported_statistic_name,reported_statistic,reported_lower,reported_upper,conversion_note
Poeplau_Don_2015_rate,Poeplau_Don_2015_rate,,+Cover Crops,Soil C,contrast,TRUE,rate,0.32,Mg C ha-1 yr-1,,0.32,Mg C ha-1 yr-1,,CI95_halfwidth,0.08,Mg C ha-1 yr-1,mean annual SOC stock change rate,reported_as_is,0.040817,,,95% confidence interval,0.08,,,"The paper states 'Errors given in the text are 95% confidence intervals' (Methods 2.2), so the reported value is a CI half-width, not a standard error. An earlier extraction recorded it as a standard error; corrected 2026-09-16 after David asked whether a valid error bar exists. SE = half-width / 1.96. Reported value preserved unchanged."
Poeplau_Don_2015_steadystate,Poeplau_Don_2015_steadystate,,+Cover Crops,Soil C,not_viable,FALSE,stock,16.7,Mg C ha-1,,16.7,"Mg C ha-1 (cumulative, 22 cm)","RothC projection to steady state over 155 yr, a model output not an observation",CI95_halfwidth,1.5,Mg C ha-1,modelled steady state SOC accumulation,reported_as_is,0.76532,,,95% confidence interval,1.5,,,"The paper states 'Errors given in the text are 95% confidence intervals' (Methods 2.2), so the reported value is a CI half-width, not a standard error. An earlier extraction recorded it as a standard error; corrected 2026-09-16 after David asked whether a valid error bar exists. SE = half-width / 1.96. Reported value preserved unchanged."
VicenteVicente_2016_OA,VicenteVicente_2016_OA,,+Non-crop C,Soil C,contrast,,rate,5.3,Mg C ha-1 yr-1,,5.3,t C ha-1 yr-1,"no dispersion reported SUPERSEDED 2026-09-17: replaced as the selected value for +Non-crop C x Soil C by Bai et al. 2023, which reports a confidence interval. Retained as contributing evidence. NOTE the two are not the same quantity: this row is a RATE, Bai is a percent change and a stock change.",none,,,,not_derivable,,,,sequestration rate,,,,
VicenteVicente_2016_CC.olive,VicenteVicente_2016_CC,,+Cover Crops,Soil C,contrast,,rate,1.1,Mg C ha-1 yr-1,,1.1 (olive); 0.78 (vineyard); 2.0 (almond),t C ha-1 yr-1,split: olive,none,,,,not_derivable,,,,sequestration rate,,,,
VicenteVicente_2016_CC.vineyard,VicenteVicente_2016_CC,,+Cover Crops,Soil C,contrast,,rate,0.78,Mg C ha-1 yr-1,,1.1 (olive); 0.78 (vineyard); 2.0 (almond),t C ha-1 yr-1,split: vineyard,none,,,,not_derivable,,,,sequestration rate,,,,
VicenteVicente_2016_CC.almond,VicenteVicente_2016_CC,,+Cover Crops,Soil C,contrast,,rate,2,Mg C ha-1 yr-1,,1.1 (olive); 0.78 (vineyard); 2.0 (almond),t C ha-1 yr-1,split: almond,none,,,,not_derivable,,,,sequestration rate,,,,
Robertson_2000_notill_SOC,Robertson_2000_notill_SOC,,Reduced tillage,Soil C,contrast,,rate,0.3,Mg C ha-1 yr-1,,30,g C m-2 yr-1,"g C m-2 yr-1 converted at 0.01 SUPERSEDED 2026-09-17 per issue #11: replaced as the selected value for Reduced tillage x Soil C by Sun et al. 2020, a synthesis constrained to California analog climate. Row retained as contributing evidence.",none,,,,not_derivable,,,,accumulation rate,,,,
Poeplau_Don_2015_global,Poeplau_Don_2015_global,,+Cover Crops,Soil C,not_viable,FALSE,total,0.12,,,0.12,Pg C yr-1,"global Pg C yr-1 extrapolation, not a per-area contrast",CI95_halfwidth,0.03,Pg C yr-1,global sequestration potential,reported_as_is,0.015306,,,uncertainty,0.03,0.09,0.15,"sheet said standard error; the paper states 'Errors given in the text are 95% confidence intervals' (Methods 2.2), so this is a CI half-width. SE = half-width / 1.96. Reported value preserved unchanged."
Siddique_2023_vs_monoculture,Siddique_2023_vs_monoculture,,Annual -> Perennial,Soil C,contrast,,relative,,,0.153579,+16.6,"percent, 0-30 cm",percent change converted to LRR,none,,,,not_derivable,,,not_derivable,percent change in SOC stock,,,,
Siddique_2023_time_dependence.lt5yr,Siddique_2023_time_dependence,,Annual -> Perennial,Soil C,contrast,,relative,,,,negative <5 yr; +36.4 vs rotation >10 yr,"percent, 0-30 cm","split: <5 yr reported only as negative, no magnitude given",none,,,,not_derivable,,,,percent change by duration,,,,
Siddique_2023_time_dependence.gt10yr,Siddique_2023_time_dependence,,Annual -> Perennial,Soil C,contrast,,relative,,,0.310422,negative <5 yr; +36.4 vs rotation >10 yr,"percent, 0-30 cm",split: >10 yr vs rotation,none,,,,not_derivable,,,not_derivable,percent change by duration,,,,
Snyder_2009_Nfert_soilC.168N,Snyder_2009_Nfert_soilC,,+/- N Fertilization,Soil C,not_viable,FALSE,stock,6.9,Mg C ha-1,,17.0 / 13.0 / 10.1,"t C ha-1, top 30 cm","split: 168 kg N vs 0 N control, both arms reported so LRR derivable",none,,,,not_derivable,,,,corn-derived SOC by N rate (168 / 83 / 0),,,,"Table 2 column heading is 'SOC derived from corn', the isotopically traced corn fraction, not total SOC. The text states total soil organic C DECLINED in all treatments and only the corn-signature fraction accumulated faster under N. Recording this as a total SOC gain had the sign opposite to the actual total SOC trajectory. SIPNET has one undifferentiated soil pool and cannot produce an isotopically partitioned fraction, so this is not a usable target."
Snyder_2009_Nfert_soilC.83N,Snyder_2009_Nfert_soilC,,+/- N Fertilization,Soil C,not_viable,FALSE,stock,2.9,Mg C ha-1,,17.0 / 13.0 / 10.1,"t C ha-1, top 30 cm",split: 83 kg N vs 0 N control,none,,,,not_derivable,,,,corn-derived SOC by N rate (168 / 83 / 0),,,,"Table 2 column heading is 'SOC derived from corn', the isotopically traced corn fraction, not total SOC. The text states total soil organic C DECLINED in all treatments and only the corn-signature fraction accumulated faster under N. Recording this as a total SOC gain had the sign opposite to the actual total SOC trajectory. SIPNET has one undifferentiated soil pool and cannot produce an isotopically partitioned fraction, so this is not a usable target."
Kirk_2015_flooded_rice_soilC.site1,Kirk_2015_flooded_rice_soilC,,Flooding / rice,Soil C,needs_source_check,,rate,-2.473,Mg C ha-1 yr-1,,2473 and 2241,kg C ha-1 yr-1 net loss,"absolute loss under flooded rice, comparator drained cropping value not extracted so contrast cannot be formed",none,,,,not_derivable,,,,range across sites and assumptions,1149 to 2473,1149,2473,
Kirk_2015_flooded_rice_soilC.site2,Kirk_2015_flooded_rice_soilC,,Flooding / rice,Soil C,needs_source_check,,rate,-2.241,Mg C ha-1 yr-1,,2473 and 2241,kg C ha-1 yr-1 net loss,"as above, second site",none,,,,not_derivable,,,,range across sites and assumptions,1149 to 2473,1149,2473,
Cayuela_2017_irrigation.drip,Cayuela_2017_irrigation,,+/- N Fertilization,N2O,contrast,,ef,0.0051,fraction of N applied,-0.579034,0.51 vs 0.91,percent of N applied,"split: drip vs sprinkler, both arms given",none,,,,not_derivable,,,not_derivable,emission factor,,,,
Cayuela_2017_irrigation.sprinkler,Cayuela_2017_irrigation,,+/- N Fertilization,N2O,contrast,,ef,0.0091,fraction of N applied,,0.51 vs 0.91,percent of N applied,"split: sprinkler arm, the comparator",none,,,,not_derivable,,,,emission factor,,,,
Cayuela_2017_rainfed_irrigated.rainfed,Cayuela_2017_rainfed_irrigated,,+/- N Fertilization,N2O,contrast,,ef,0.0027,fraction of N applied,-0.847298,0.27 vs 0.63,percent of N applied,split: rainfed vs irrigated,none,,,,not_derivable,,,not_derivable,emission factor,,,,
Cayuela_2017_rainfed_irrigated.irrigated,Cayuela_2017_rainfed_irrigated,,+/- N Fertilization,N2O,contrast,,ef,0.0063,fraction of N applied,,0.27 vs 0.63,percent of N applied,split: irrigated arm,none,,,,not_derivable,,,,emission factor,,,,
Cayuela_2017_croptype.low,Cayuela_2017_croptype,,+/- N Fertilization,N2O,contrast,,ef,0.0026,fraction of N applied,-1.160744,0.26 vs 0.83,percent of N applied,split: crop type contrast,none,,,,not_derivable,,,not_derivable,emission factor,,,,
Cayuela_2017_croptype.high,Cayuela_2017_croptype,,+/- N Fertilization,N2O,contrast,,ef,0.0083,fraction of N applied,,0.26 vs 0.83,percent of N applied,split: comparator arm,none,,,,not_derivable,,,,emission factor,,,,
Li_2024_EF_by_type.a,Li_2024_EF_by_type,,+/- N Fertilization,N2O,contrast,,ef,0.01,fraction of N applied,0.223144,1.0 vs 0.8,percent of N applied,split: EF by fertilizer type,none,,,,not_derivable,,,not_derivable,emission factor,,,,
Li_2024_EF_by_type.b,Li_2024_EF_by_type,,+/- N Fertilization,N2O,contrast,,ef,0.008,fraction of N applied,,1.0 vs 0.8,percent of N applied,split: comparator arm,none,,,,not_derivable,,,,emission factor,,,,
Liu_2017_EFc,Liu_2017_EFc,,+/- N Fertilization,N2O,not_viable,FALSE,ef,0.0258,fraction of N applied,,2.58,percent of N applied (combined NO + N2O emission factor),"COMBINED NO + N2O emission factor, not pure N2O; SE derived from the 95 pct CI",SE,0.00392864,fraction of N applied,the combined NO+N2O emission factor,derived_from_CI95,0.00392864,,,95% confidence interval,1.81 to 3.35,1.81,3.35,"95% CI 1.81 to 3.35 percent -> SE = (upper-lower)/3.92 on the fraction scale. Approximate. Row is not_viable anyway: the EF is combined NO + N2O, not N2O."
Liu_2017_veg,Liu_2017_veg,,+/- N Fertilization,N2O,not_viable,FALSE,ef,0.0413,fraction of N applied,,4.13,percent of N applied (NO + N2O),"COMBINED NO + N2O, not pure N2O",none,,,,not_derivable,,,,emission factor,,,,
Liu_2017_ammonium_nitrate,Liu_2017_ammonium_nitrate,,+/- N Fertilization,N2O,not_viable,FALSE,ef,0.0597,fraction of N applied,,5.97,percent of N applied,"COMBINED NO + N2O, not pure N2O",none,,,,not_derivable,,,,combined NO+N2O emission factor,,,,
Leschinsky_2026_EF_benchmarks,Leschinsky_2026_EF_benchmarks,,+/- N Fertilization,N2O,not_viable,FALSE,ef,,fraction of N applied,,see note,percent of N applied,"no effect size reported, only a random forest R2",none,,,,not_derivable,,,,random forest R2,"0.54 area-scaled, 0.72 yield-scaled, 0.69 EF",,,
