row_id,outcome,quantity,value,units,spread,spread_type,source_id,note
POOLED_EF_N2O,N2O,pooled N2O emission factor across the EF rows below,0.0072,fraction of N applied,0.0036,"sd, estimated",derived from the 7 EF rows,"estimated sd by setting min/max = 95%CI across studies (David). Post hoc comparison, not a calibration target. CAUTION this pools measured Cayuela EFs with IPCC defaults, which David distinguished on 2026-09-17; it should be recomputed from the measured rows only if it is ever used as a target."
CARB_2025_soilC_series,Soil C,(cross-cutting) / total,225.43,"MMT C, statewide cropland soil pool",,,CARB_2025_soilC_series,"CARB 2025 NWL Carbon Inventory, Appendix C Croplands, sheet CL_Fig1. Annual series 2001 to 2022, range 209.34 to 264.44. The 2022 value is 213.495, which is the unexplained number in the draft table."
CARB_2025_biomassC_series,Soil C,(cross-cutting) / total,46.4,"MMT C, statewide cropland biomass pool",,,CARB_2025_biomassC_series,"Same source and series, range 34.67 to 64.99. Biomass nearly doubles across the series while soil carbon is flat to declining, consistent with orchard expansion."
Cayuela_2017_EFmed,N2O,+/- N Fertilization / ef,0.005,fraction of N applied,0.0012,"CI95 halfwidth, reported",Cayuela_2017_EFmed,"Per David 2026-09-17: an independently collected EF value CAN serve as a calibration target, provided the observation operator is modelled N2O-N divided by fertilizer N. This row is a measured EF, so it is eligible. PROMOTED to a calibration target 2026-09-18 per David; see the ""EF level, Mediterranean"" subclass in summarized_targets. Paper reports 0.50 percent +/- 0.12 95% CI over N=200."
Cayuela_2017_rice,N2O,Flooding / rice / ef,0.0019,fraction of N applied,,,Cayuela_2017_rice,"Per David 2026-09-17: an independently collected EF value CAN serve as a calibration target, provided the observation operator is modelled N2O-N divided by fertilizer N. This row is a measured EF, so it is eligible."
Cayuela_2017_highN,N2O,+/- N Fertilization / ef,0.0082,fraction of N applied,,,Cayuela_2017_highN,"Per David 2026-09-17: an independently collected EF value CAN serve as a calibration target, provided the observation operator is modelled N2O-N divided by fertilizer N. This row is a measured EF, so it is eligible."
IPCC_2019_EF1_aggregated,N2O,+/- N Fertilization / ef,0.01,fraction of N applied,,,IPCC_2019_EF1_aggregated,"Per David 2026-09-17: this is an IPCC DEFAULT, a prescribed convention rather than an independently collected value, so it is not eligible as a calibration target. Kept for comparison."
IPCC_2019_EF1_dry,N2O,+/- N Fertilization / ef,0.005,fraction of N applied,,,IPCC_2019_EF1_dry,"Per David 2026-09-17: this is an IPCC DEFAULT, a prescribed convention rather than an independently collected value, so it is not eligible as a calibration target. Kept for comparison."
IPCC_2019_EF1_wet_synthetic,N2O,+/- N Fertilization / ef,0.016,fraction of N applied,,,IPCC_2019_EF1_wet_synthetic,"Per David 2026-09-17: this is an IPCC DEFAULT, a prescribed convention rather than an independently collected value, so it is not eligible as a calibration target. Kept for comparison."
IPCC_2019_EF1FR_rice,N2O,Flooding / rice / ef,0.004,fraction of N applied,,,IPCC_2019_EF1FR_rice,"Per David 2026-09-17: this is an IPCC DEFAULT, a prescribed convention rather than an independently collected value, so it is not eligible as a calibration target. Kept for comparison."
Jeong_2018_statewide_N2O,N2O,(cross-cutting) / ratio,2,multiple of the California inventory,,,Jeong_2018_statewide_N2O,"California statewide N2O is 1.5 to 2.5 times the inventory. State specific, so a strong level check."
Anthony_2023_alfalfa_N2O,N2O,Annual -> Perennial / flux,0.000397172,kg N2O-N m-2 yr-1,0.0000178218,"SE, reported_as_is_converted",Anthony_2023_alfalfa_N2O,"reported as 624 +/- 28 mg N2O m-2 yr-1 (paper states 'Mean (+/- standard error)'); reported values preserved in original_mean and original_units. Converted to an N2O-N basis by 28.014/44.013 = 0.636494, then mg to kg by"
