source,in_zotero,collection,note
Poeplau & Don (2015),yes,management/meta-analyses,4 attachments incl. article PDF
Basche et al. (2014),yes,management/meta-analyses,1 attachment
van Kessel et al. (2013),yes,(not in meta-analyses),2 duplicate records; older has the PDF
Six et al. (2004),yes,management/tillage,2 duplicate records; older has the PDF
Bouwman et al. (2002),yes,management,2 duplicate records; older has the PDF
Liu et al. (2017),yes,management,2 duplicate records; older has the PDF
Snyder et al. (2009),yes,"management, cited_references",not in the meta-analyses collection
Robertson et al. (2000),yes,"management, cited_references","individual experiment, not core evidence"
Cayuela et al. (2017),yes,management/meta-analyses,4 attachments
Li et al. (2023),yes,management/meta-analyses,1 attachment
Li et al. (2024) specialty,yes,management/meta-analyses,4 attachments incl. meta.xlsx
Vicente-Vicente et al. (2016),yes,management/meta-analyses,3 attachments
IPCC 2019 Refinement,yes,(uncollected),present in library
Conrad (2007),yes,"management, cited_references",marked with a cross in issue #164
Siddique et al. (2023),NO,-,"sole support for Annual->Perennial / Soil C, marked 'verified' in the draft"
Jiang et al. (2019),NO,-,"sole support for Flooding / CH4, marked 'verified' in the draft"
Leschinsky & Xia (2026),NO,-,most-used source in the draft table (3 rows)
Jeong et al. (2018),NO,-,"no record by author, title or DOI"
De Gryze et al. (2010) cited paper,NO,-,a DIFFERENT De Gryze 2010 paper is in the library; do not treat as found
CARB 2025 / 2021 items,NO,-,CARB 2018 TSD and 2022 Scoping Plan are in Zotero; the cited 2025/2021 items are not
