treatment_id,replicate_id,study_year,plos_system,source_value_Mg_C_ha,correction_factor,SOC_stock_0_30cm_Mg_C_ha,correction_note,attributes_json
socs_sys1,1,0,1,52,0.905,47.06,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":52,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
socs_sys1,1,1,1,21,0.905,19.005,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":21,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
socs_sys1,1,2,1,34,0.905,30.77,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":34,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
socs_sys1,1,3,1,28,0.905,25.34,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":28,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
socs_sys1,1,4,1,22,0.905,19.91,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":22,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
socs_sys1,1,5,1,24,0.905,21.72,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":24,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
socs_sys1,1,6,1,26,0.905,23.53,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":26,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
socs_sys1,1,7,1,15,0.905,13.575000000000001,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":15,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
socs_sys1,1,8,1,22,0.905,19.91,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":22,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
socs_sys1,2,0,1,49,0.905,44.345,rescaled x0.905 for the White et al. (2024) correction (10.1371/journal.pone.0307250),"{""stock_basis"":""maximum_equivalent_soil_mass"",""source_file"":""White_Data in Brief_Supplemental Tables.xlsx"",""source_sheet"":""Supplementary Table 1"",""source_value_Mg_ha"":49,""plos_system"":1,""correction_doi"":""10.1371/journal.pone.0307250"",""correction_factor"":0.905,""derivation_script"":""data_raw/white_salinas_2020/correct_soc_stocks_2024.R""}"
